1.171418,-0.148833,0.161964,0.003248,0.04948
0.896289,-0.130913,-0.018476,0.090745,-0.030967
1.04556,0.11165,0.12202,-0.078103,-0.042329
0.9961,0.065586,0.183251,0.124482,0.033832
0.97094,-0.115672,0.060907,-0.028503,-0.092764
1.213024,-0.06532,-0.138154,-0.008164,-0.076597
0.896809,-0.139027,-0.055465,-0.036073,0.023469
1.05519,0.244902,-0.085378,0.030898,0.068625
0.92509,-0.06087,0.081099,0.010924,0.06582
1.057261,-0.07168,-0.121101,-0.154937,-0.029941
1.025115,-0.025203,0.028476,0.114345,0.135237
1.10938,0.013839,-0.04834,-0.047938,-0.074519
1.097418,-0.100943,0.166899,0.053286,0.034681
0.872418,-0.166014,-0.014948,0.128593,0.085981
0.962109,-0.035027,-0.070718,0.244332,-0.059487
0.997713,0.015599,-0.038668,0.060331,-0.073299
0.885208,-0.008673,-0.026299,-0.052042,-0.096973
1.020787,-0.01126,-0.068093,0.033576,-0.065851
1.16906,0.02679,0.148991,-0.06109,-0.075843
0.955518,-0.236157,0.172047,0.048509,-0.001796
0.901297,0.095823,0.00103,0.243489,0.201884
0.859505,-0.007242,0.156325,0.107343,0.106603
0.99426,0.057073,-0.066269,-0.123535,-0.126146
0.861526,0.014018,-0.077436,-0.033346,-0.034411
0.960168,0.011864,0.114241,0.096095,0.162628
1.000954,0.154484,-0.048984,0.059987,0.113223
0.959186,0.056566,-0.186458,-0.031371,0.045324
1.072277,0.044953,0.111634,0.005608,0.004514
1.168956,-0.104228,0.023029,-0.236862,-0.082734
0.916481,-0.164468,0.053903,0.016417,0.127193
1.066088,-0.002047,0.005706,-0.002242,-0.063974
1.047816,-0.041948,-0.075547,-0.138981,-0.010996
1.076313,0.111919,0.015941,0.070961,-0.069924
0.97987,0.08858,0.082154,0.040159,-0.163226
1.278405,0.139543,-0.123091,-0.001184,0.007152
1.047757,0.038026,-0.171336,-0.120327,-0.090361
1.087563,-0.009693,0.03165,0.013915,0.05026
1.074868,0.107853,-0.163597,0.174436,-0.067697
0.960329,-0.067395,0.093061,-0.104044,-0.062155
0.991736,-0.053554,-0.074672,-0.104984,0.081774
0.970105,-0.036447,0.016417,-0.10129,-0.230093
0.860031,0.046366,0.02627,-0.009192,-0.074759
